NAME,YEAR,Dist,REG,VOTE,QUOTA,COUNTS,PTOTAL,PSIZE,PARTY,QSHARE,PSHARE,TOPS,LAST,CT1,Ct2,Ct3,Ct4,Ct5,Ct6,Ct7,Ct8,Ct9,Ct10,Ct11,Ct12,Ct13,Ct14,Ct15,Ct16,Ct17,Ct18,Ct19,Ct20,Ct21,Ct22,Ct23,Ct24,Ct25,Ct26,Ct27,Ct28,Ct29,Ct30,Ct31,Ct32,Xt33,Ct34,Ct35,Ct36,Ct37,,,
"Busuttil, Felic",1976,13,17282,15967,2662,23,6892,43.16,13,11.46,4.43,327,0,305,305,305,306,306,307,307,307,307,327,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Buttigieg, Carmelo",1976,13,17282,15967,2662,23,6892,43.16,13,76.6,29.59,3249,2662,2039,2039,2057,2064,2069,2069,2070,2071,2071,2112,2241,2245,2476,2477,2477,2627,2628,2628,2632,3249,2662,2662,2662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Camilleri, Angelo",1976,13,17282,15967,2662,23,6892,43.16,13,61.27,23.67,2497,2497,1631,1631,1655,1702,1702,1702,1706,1709,1709,1738,1771,1773,1842,1843,1843,1941,1946,1946,1953,2118,2486,2494,2497,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Camilleri, Carmelo",1976,13,17282,15967,2662,23,6892,43.16,13,2.86,1.1,76,0,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cefai, John",1976,13,17282,15967,2662,23,6892,43.16,13,2.22,0.86,59,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Debattista, Carmelo",1976,13,17282,15967,2662,23,6892,43.16,13,29.79,11.51,1130,0,793,793,796,803,803,803,803,803,803,882,905,908,973,973,973,1126,1126,1126,1130,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Debrincat, Wenzu",1976,13,17282,15967,2662,23,6892,43.16,13,9.96,3.85,269,0,265,265,265,269,269,269,269,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Galea, Kelinu",1976,13,17282,15967,2662,23,6892,43.16,13,36.06,13.93,1667,1667,960,960,961,962,962,962,963,963,963,1002,1017,1019,1040,1040,1040,1132,1133,1133,1136,1437,1655,1661,1667,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Haber, Ganni",1976,13,17282,15967,2662,23,6892,43.16,13,12.25,4.73,431,0,326,326,326,327,327,327,327,328,328,336,431,431,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Portelli, John",1976,13,17282,15967,2662,23,6892,43.16,13,16.45,6.36,543,0,438,438,444,447,447,447,447,447,448,480,503,505,542,543,543,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Apap, Joseph",1976,13,17282,15967,2662,23,9075,56.84,15,9.13,2.68,268,0,243,245,246,246,247,254,268,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Attard, Coronato",1976,13,17282,15967,2662,23,9075,56.84,15,69.08,20.26,2741,2662,1839,1842,1844,1847,1858,1880,1915,1967,2086,2090,2091,2150,2152,2358,2377,2381,2741,2662,2662,2662,2662,2662,2662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Buttigieg, Anton",1976,13,17282,15967,2662,23,9075,56.84,15,20.92,6.14,608,0,557,557,557,557,558,559,561,565,577,578,578,590,590,605,606,608,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Calleja, Nazareno M.",1976,13,17282,15967,2662,23,9075,56.84,15,6.35,1.86,172,0,169,170,170,171,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cauchi, Amabile",1976,13,17282,15967,2662,23,9075,56.84,15,42.71,12.53,3468,2662,1137,1163,1163,1163,1165,1171,1187,1228,1244,1244,1244,1272,1272,1319,1324,1331,1418,1472,2058,2065,2066,3468,2662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cauchi, Teddy",1976,13,17282,15967,2662,23,9075,56.84,15,1.73,0.51,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Grima, William",1976,13,17282,15967,2662,23,9075,56.84,15,21.94,6.44,922,0,584,594,594,594,594,602,619,630,661,665,668,727,727,782,788,804,906,922,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Pace, Salvu",1976,13,17282,15967,2662,23,9075,56.84,15,11.46,3.36,336,0,305,306,306,306,306,308,319,329,334,336,336,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Refalo, Carmelo",1976,13,17282,15967,2662,23,9075,56.84,15,42.19,12.38,1611,0,1123,1124,1125,1125,1191,1197,1215,1227,1238,1238,1238,1263,1264,1293,1302,1307,1345,1354,1606,1611,1611,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Refalo, Lewis",1976,13,17282,15967,2662,23,9075,56.84,15,4.02,1.18,107,0,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Saliba, Carmelo",1976,13,17282,15967,2662,23,9075,56.84,15,7.1,2.08,196,0,189,189,189,189,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Spiteri, Carmel (Charles)",1976,13,17282,15967,2662,23,9075,56.84,15,7.74,2.27,216,0,206,207,207,207,208,211,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Tabone, Anton",1976,13,17282,15967,2662,23,9075,56.84,15,83.4,24.46,2702,2662,2220,2220,2220,2221,2230,2238,2306,2378,2447,2455,2455,2571,2572,2702,2662,2662,2662,2662,2662,2662,2662,2662,2662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Zammit Haber, Francis",1976,13,17282,15967,2662,23,9075,56.84,15,13.15,3.86,490,0,350,350,350,350,350,457,460,469,469,469,470,489,490,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1976,13,17282,15967,2662,23,0,0,99,0,0,1155,1155,0,1,4,4,7,8,9,9,13,15,19,24,27,32,32,48,62,62,128,163,163,358,1155,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Baldacchino, Alfred",1981,1,17025,16035,2673,21,8240,51.39,13,3.11,1.01,229,0,83,132,132,165,165,176,176,195,195,229,229,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonnici Cachia, Edgar P.",1981,1,17025,16035,2673,21,8240,51.39,13,0.56,0.18,63,0,15,42,42,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, John J.",1981,1,17025,16035,2673,21,8240,51.39,13,0.86,0.28,129,0,23,80,80,112,112,127,127,129,129,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Brincat, Joseph",1981,1,17025,16035,2673,21,8240,51.39,13,4.34,1.41,1253,0,116,706,706,977,978,989,989,1008,1008,1058,1060,1241,1245,1246,1246,1247,1247,1249,1252,1253,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cremona, Danny",1981,1,17025,16035,2673,21,8240,51.39,13,5.13,1.66,2861,2861,137,1002,1002,1466,1466,1488,1488,1551,1552,1593,1594,1638,1639,1639,1640,1641,1641,1642,1643,1645,2861,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mintoff, Dom",1981,1,17025,16035,2673,21,8240,51.39,13,273.59,88.75,7313,2673,7313,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Moran, Vincent C.",1981,1,17025,16035,2673,21,8240,51.39,13,20.09,6.52,3564,2673,537,3564,3564,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Xuereb, Paul",1981,1,17025,16035,2673,21,8240,51.39,13,0.6,0.19,106,0,16,34,34,103,104,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bondin, Ray",1981,1,17025,16035,2673,21,7786,48.56,15,9.95,3.42,367,0,266,266,283,283,292,292,294,294,297,297,308,308,332,347,367,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonnici, Emanuel",1981,1,17025,16035,2673,21,7786,48.56,15,81.29,27.91,2937,2673,2173,2174,2336,2336,2343,2344,2349,2349,2356,2356,2385,2387,2406,2525,2654,2937,2673,2673,2673,2673,2673,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg Olivier De Puget, Albert",1981,1,17025,16035,2673,21,7786,48.56,15,9.32,3.2,2367,2367,249,250,302,302,310,311,322,322,350,350,366,366,450,483,544,572,808,956,1286,2366,2367,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Joe",1981,1,17025,16035,2673,21,7786,48.56,15,4.38,1.5,136,0,117,118,130,130,132,132,134,134,136,136,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cachia, Joe",1981,1,17025,16035,2673,21,7786,48.56,15,9.02,3.1,308,0,241,241,261,261,262,262,265,265,271,271,281,281,291,308,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cassar Galea, Joesph F.",1981,1,17025,16035,2673,21,7786,48.56,15,3.63,1.25,109,0,97,97,104,104,107,107,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Darmanin, Cecilia (Cilia)",1981,1,17025,16035,2673,21,7786,48.56,15,0.97,0.33,27,0,26,26,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"De Marco, Guido",1981,1,17025,16035,2673,21,7786,48.56,15,120.28,41.29,3215,2673,3215,3215,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Delicata, Charles",1981,1,17025,16035,2673,21,7786,48.56,15,13.58,4.66,1121,0,363,363,453,453,459,459,465,465,474,475,498,498,512,547,599,629,641,789,1121,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Farrugia, Herman",1981,1,17025,16035,2673,21,7786,48.56,15,11.9,4.08,678,0,318,318,385,385,394,394,405,405,418,419,432,432,468,496,518,530,541,678,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Farrugia, Jimmy",1981,1,17025,16035,2673,21,7786,48.56,15,5.87,2.02,230,0,157,158,177,177,178,178,193,193,226,227,230,230,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud Bonnici, Antoine",1981,1,17025,16035,2673,21,7786,48.56,15,9.32,3.2,439,0,249,250,315,315,317,317,322,322,325,325,345,345,372,406,426,434,439,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Portelli Demajo, Joseph",1981,1,17025,16035,2673,21,7786,48.56,15,8.72,2.99,286,0,233,235,255,256,258,258,267,267,271,271,278,278,286,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vella, Godfrey",1981,1,17025,16035,2673,21,7786,48.56,15,0.86,0.3,26,0,23,23,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Zammit, Stanley",1981,1,17025,16035,2673,21,7786,48.56,15,2.21,0.76,72,0,59,59,66,66,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sant, Spiridione",1981,1,17025,16035,2673,21,9,0.06,50,0.34,100,9,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1981,1,17025,16035,2673,21,0,0,99,0,0,115,115,0,0,0,0,4,4,5,8,8,9,10,12,15,19,22,26,26,29,41,79,115,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bartolo, Freddie",1981,2,18055,17078,2847,10,11871,69.51,13,9.2,2.21,3135,3135,262,2147,2147,2148,2148,2148,2149,2598,2612,3135,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Busuttil, Piju",1981,2,18055,17078,2847,10,11871,69.51,13,2.25,0.54,548,0,64,548,548,548,548,548,548,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Grima, Joseph (Joe)",1981,2,18055,17078,2847,10,11871,69.51,13,7.03,1.69,2984,2984,200,1881,1881,1881,1881,1881,1881,2130,2149,2984,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mintoff, Dom",1981,2,18055,17078,2847,10,11871,69.51,13,367.72,88.19,10469,2847,10469,2847,2847,2847,2847,2847,2847,2847,2847,2847,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Saliba, Joseph",1981,2,18055,17078,2847,10,11871,69.51,13,10.29,2.47,1383,0,293,1235,1235,1235,1236,1236,1237,1371,1383,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sant, Lorry",1981,2,18055,17078,2847,10,11871,69.51,13,17.63,4.23,2892,2847,502,2629,2629,2630,2631,2631,2632,2892,2847,2847,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sultana, Joe",1981,2,18055,17078,2847,10,11871,69.51,13,2.85,0.68,556,0,81,554,554,554,554,554,556,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bondin, Ray",1981,2,18055,17078,2847,10,5207,30.49,15,3.65,2,123,0,104,104,105,107,118,123,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borda, Emanuel",1981,2,18055,17078,2847,10,5207,30.49,15,2.35,1.29,77,0,67,68,71,77,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cordina, John",1981,2,18055,17078,2847,10,5207,30.49,15,0.28,0.15,8,0,8,8,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Ellul, Lawrence",1981,2,18055,17078,2847,10,5207,30.49,15,2.74,1.5,95,0,78,79,82,85,95,95,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Gerada, Alfons",1981,2,18055,17078,2847,10,5207,30.49,15,0.67,0.37,19,0,19,19,19,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud Bonnici, Ugo",1981,2,18055,17078,2847,10,5207,30.49,15,98,53.58,2862,2847,2790,2805,2806,2825,2862,2847,2847,2847,2847,2847,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Muscat, Josie (Joseph)",1981,2,18055,17078,2847,10,5207,30.49,15,74.32,40.64,2381,2381,2116,2129,2129,2139,2156,2166,2369,2372,2372,2381,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sant, John K/A Ivan",1981,2,18055,17078,2847,10,5207,30.49,15,0.88,0.48,25,0,25,25,25,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1981,2,18055,17078,2847,10,0,0,99,0,0,37,37,0,0,0,2,2,2,12,21,21,37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Abela, Tommy",1981,3,17574,16730,2789,12,10355,61.9,13,7.96,2.14,273,0,222,273,273,273,273,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Abela, Wistin",1981,3,17574,16730,2789,12,10355,61.9,13,135.5,36.49,3779,2789,3779,2789,2789,2789,2789,2789,2789,2789,2789,2789,2789,2789,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Barbara, Agatha",1981,3,17574,16730,2789,12,10355,61.9,13,91.72,24.7,2877,2789,2558,2694,2696,2696,2696,2877,2789,2789,2789,2789,2789,2789,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Buttigieg, Joe (Joseph)",1981,3,17574,16730,2789,12,10355,61.9,13,36,9.7,2139,2139,1004,1310,1310,1310,1310,1335,1407,1478,1480,1485,1491,2139,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mercieca, Grezzju (Grazio)",1981,3,17574,16730,2789,12,10355,61.9,13,11.9,3.21,373,0,332,353,353,353,353,367,373,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Portelli, Alfred (Freddie)",1981,3,17574,16730,2789,12,10355,61.9,13,26.21,7.06,1060,0,731,773,774,774,774,788,791,1055,1059,1060,1060,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vella, George W.",1981,3,17574,16730,2789,12,10355,61.9,13,61.99,16.7,2642,2642,1729,2157,2157,2157,2158,2191,2198,2235,2236,2238,2240,2642,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonanno, Toni",1981,3,17574,16730,2789,12,6375,38.11,15,5.88,2.57,202,0,164,164,190,202,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cachia Zammit, Alexander",1981,3,17574,16730,2789,12,6375,38.11,15,70.1,30.67,3557,2789,1955,1959,2086,2117,2269,2269,2269,2269,2614,3557,2789,2789,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cordina, John",1981,3,17574,16730,2789,12,6375,38.11,15,0.57,0.25,21,0,16,16,21,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud Bonnici, Ugo",1981,3,17574,16730,2789,12,6375,38.11,15,11.4,4.99,545,0,318,319,481,525,542,544,544,545,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Muscat, Josie (Joseph)",1981,3,17574,16730,2789,12,6375,38.11,15,115.13,50.37,3211,2789,3211,3211,2789,2789,2789,2789,2789,2789,2789,2789,2789,2789,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Psaila Savona, Joe",1981,3,17574,16730,2789,12,6375,38.11,15,22.16,9.69,964,0,618,619,704,745,777,777,777,777,964,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Zammit, Grace",1981,3,17574,16730,2789,12,6375,38.11,15,3.34,1.46,107,0,93,93,107,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
